pairid,order,lineid1,linewav1,lineelement1,linepotential1,lineid2,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,weighted_resid,covaa,covab,covbb,fittype
32,52,74,10838.97,20,4.8775,69,10784.562,14,5.9639,-2314.2,4786.2,16,160.7,7828.8,3063,1515.6,l
33,52,77,10863.518,26,4.7331,63,10727.406,14,5.984,-4295.7,3789.4,16,299.4,36497.6,13251.7,5753.8,l
34,52,79,10881.758,26,2.845,80,10882.809,14,5.984,-2606.6,4767.9,15,150.1,6026.3,2100.1,936,l
35,52,81,10884.262,26,3.9286,82,10885.333,14,6.1807,-3762.5,4216,16,110,19619.3,8043,3529.3,l
36,48,85,11638.26,26,2.1759,86,11640.941,14,6.2739,-2625.5,6392.1,13,180.5,13327.6,-5632.2,3030.7,l
37,48,89,11772.838,19,1.6171,88,11700.239,14,6.2694,-2476.5,6228.3,13,122,11394,-5302.4,2881.7,l
38,47,92,11882.844,26,2.1979,91,11863.92,14,5.984,-2517.9,7384.6,12,146.1,36543.2,-26436.4,20482.4,l
39,47,93,11884.083,26,2.2227,98,12031.504,14,4.9538,-3866.9,4663.4,11,109.8,116087.4,23905.7,7077.3,l
40,47,94,11955.955,20,4.1308,99,12039.822,12,5.7532,-2964.6,4788.2,8,157.8,103011.5,29536.1,11278.8,l
41,47,95,11973.046,26,2.1759,96,11984.198,14,4.9296,-3935.3,5217.2,10,100.3,59416.6,2475.3,1212.2,l
42,46,100,12053.082,26,4.5585,107,12178.339,14,6.2694,-1980.4,5612,8,117.4,20609.5,-3167.9,2130.1,l
43,46,108,12190.098,26,3.6352,103,12110.659,14,6.6161,-2103.6,5002.3,10,203.2,42308.8,7373.7,3636.2,l
44,46,109,12227.112,26,4.607,106,12175.733,14,6.6192,-1963,5903.8,10,281.4,11683.7,-2823.7,1693,l
45,45,112,12390.154,14,5.0823,121,12583.924,14,6.6161,-4876.4,5964.4,9,298.9,201513.1,-11878.5,2704.9,l
46,45,116,12432.273,19,1.61,115,12423.029,12,5.932,-3272,5163.8,16,157.5,22486.9,3403.2,1034.8,l
47,45,119,12532.84,24,2.7088,113,12395.832,14,4.9538,-1383.9,4591.2,12,107.4,1827.1,973.8,877.8,l
48,45,120,12556.996,26,2.2786,118,12457.132,12,6.4314,-2914.9,5970.5,11,157.2,55452.1,-6323,2151.9,l
49,44,122,12600.277,22,1.4432,133,12896.118,26,4.913,-1959.5,5064.8,6,199.6,17043.9,959.8,1867.5,l
50,44,128,12821.672,22,1.4601,125,12648.741,26,4.607,-3630.8,5425.5,10,283.5,64046.9,2260.3,2143.3,l
51,44,129,12831.445,22,1.4298,127,12807.152,26,3.6398,-1942.6,4954.4,8,127.9,5584.6,803.1,1031.1,l
52,44,131,12847.034,22,1.4432,130,12840.574,26,4.9556,-2917.4,5722,7,140.3,19059.7,-2384.6,1806.7,l
53,43,134,12899.76,25,2.1142,142,13029.524,14,6.0827,-2846.8,7387.7,16,164.5,13676.2,-8758.2,6121.7,l
54,43,135,12909.07,20,4.43,145,13102.057,14,6.0827,-2025.6,4641.2,16,161.6,4433.6,1468.1,797.8,l
55,43,136,12910.09,24,2.7079,138,12934.666,26,5.3933,-1661.8,5269.6,15,193,8377.6,271.1,1095.4,l
56,43,139,12937.02,24,2.7099,148,13147.92,26,5.3933,-2492,4343.7,14,291.6,16958.4,7149.8,4134.8,l
57,43,140,12975.91,25,2.8884,143,13030.921,14,6.0787,-2380.2,6051.7,16,153.8,3321.3,-1007.6,612.1,l
58,43,141,13006.684,26,2.9904,149,13152.743,14,4.9201,-3387.6,5198,11,169.8,94877.7,11273.5,3203.2,l
59,43,144,13033.554,20,4.441,150,13176.888,14,5.8625,-2972.6,4248.1,16,148.7,6642.3,2475.8,1131.6,l
